characteristic_1	characteristic_2	characteristic_3	characteristic_4	characteristic_5
Я таксист	Работаю по ночам	Люблю шансон	Увлекаюсь теннисом	Люблю читать	
Я люблю Японию.	Мне нравится Аниме.	Мечтаю путешествовать.	Изучаю японский язык.	Люблю природу.	
Я работаю маляром	Мой сын учится	Я мечтаю о деревне	Я хочу путешествовать.	Я хочу жить без войны.	
Мне 6 лет.	В этом году пойду в школу.	У меня есть аквариум.	Люблю мороженое.	Люблю читать.	
Я люблю бегать.	У меня много увлечений.	Я живу с друзьями.	Я студент.	Я хорошо жарю шашлыки.	
Я хакер.	Люблю компы.	Очень сильный.	Супер красивый.	Люблю женщин.	
У меня есть машина.	Я люблю бегать	Я живу на 6 этаже.	У меня есть кот.	Я живу с родителями.	
Я строитель	Люблю разводить цветы	Вкусно готовлю	У меня есть кот	Не женат	
Я работаю инженером	Я люблю купаться	У меня есть хомячок	Я живу с мамой	Я мечтаю о мотоцикле	
У меня трое детей	Я домохозяйка	Я люблю готовить	У нас есть попугай	Я люблю попсу	
я люблю печь печенье	я не работаю	у меня есть сын	у меня нет животных	я люблю смотреть фильмы	
Я люблю фрукты .	Я живу на 5 этаже.	Я живу с родителями.	Я люблю бекон.	Я учусь на юриста.	
Я повар	Я люблю путешествия	Я люблю фотографировать	Я обожаю рок	Я люблю Корею	
Я врач	Я не боюсь крови	Я люблю котиков	Я люблю блинчики	я из столицы России	
я медсестра	Люблю ухаживать за больными	Много читаю	Люблю путешествовать	Увлекаюсь цветоводством	
Я старшеклассница	мои любимые уроки биология и химия	в будущем я хочу поступить в медицинский университет	стать врачом-моя давняя мечта	спасать жизни, помогать людям ,быть полезной вот то, к чему я стремлюсь в жизни	
Я бухгалтер	Я скоро пойду в отпуск	У меня есть кошка	Я катаюсь на лыжах	Я посещаю бассейн	
Я люблю кошек.	У меня есть жена.	Я хорошо готовлю.	Я мечтаю жить в Европе.	У меня есть аквариум.	
Я учитель.	Я вышла замуж за дворника.	У меня один сын.	Я хорошо танцую.	Я играю в карты.	
Я фотомодель.	Сижу на диете.	Рисую мелками.	Обожаю кошек.	Не курю.	
Я продавец.	Я филантроп.	Я интроверт.	Хочу жить в деревне.	Люблю йогурт.	
Я авиадиспетчер.	Я люблю музыку.	Я играю на гитаре.	Я люблю сало.	Я люблю искусство.	
Я автомеханик.	У меня есть квартира и автомобиль.	Живу один.	Ненавижу весну.	Люблю зеленый лук.	
Я продавец.	У меня есть муж.	Я люблю японскую кухню.	Я много путешествую.	У меня есть кошка.	
Я работаю слесарем.	Я холост.	Люблю собирать модели.	Мечтаю купить коттедж.	У меня дома живут рыбки.	
Я дизайнер.	Занимаюсь скрапбукингом.	Есть кошка.	Люблю печь.	Занимаюсь шейпингом.	
Я балерина.	Очень много работаю.	Мечтаю о своей школе.	У меня богатый муж.	Хочу дочь.	
Я девочка 5 лет.	У меня есть книжка.	Я люблю мультики.	Я люблю хоть в садик.	Я люблю плавать	
Я работаю фермером.	Я люблю выпить.	Я хочу завести индюков.	У меня есть собака.	Я люблю рыбалку.	
Я учитель.	Обожаю науку.	Люблю читать.	Обожаю лыжный спорт.	Предпочитаю активный отдых.	
Я бухгалтер.	Я люблю детей.	Я обожаю готовить.	У меня есть кот.	Я мечтаю о собаке.	
Люблю дайвинг.	Я люблю дождь.	люблю петь в душе.	У меня есть собака.	Очень люблю ромашки.	
Я студент.	Я учусь на хирурга.	Я очень люблю комедии.	Я люблю машины.	У меня есть золотая рыбка.	
Я  женщина	У меня чисто в квартире	Я люблю принимать гостей	Люблю своих детей	У меня есть внучка	
Я работаю врачом.	У меня много пациентов.	У меня есть собака.	Люблю утро.	Люблю путешествовать.	
Я моряк.	люблю готовить плов.	У меня есть джип.	Люблю сочинять стихи.	Мечтаю стать политиком.	
Я спортсмен	Я соблюдаю диету	Я веду ЗОЖ	Я живу в городе-курорте	У меня есть кролик	
Я продавец.	У меня свой ларек.	Я продаю сыры.	Я люблю собак.	У меня две сестры.	
Я люблю бегать	Я занимаюсь спортом.	У меня много наград.	Верю в любовь.	Умею вышивать.	
Закончила школу .	Учусь в колледже.	Выучила английский.	Волонтер.	Хочу в другую страну.	
У меня есть кот.	Я разведен.	Люблю слушать рок	Я работаю монтажником.	Не люблю унылых людей	
У меня пятеро внуков.	Люблю вышивать.	Я пенсионерка.	Я живу в доме.	Выращиваю домашние цветы.	
Я работа риелтором.	У меня есть собака.	Живу в городе Уфа	Я люблю читать книги.	Я люблю цветы.	
Я люблю капусту	Я езжу к морю	Я люблю день зарплаты	У меня две дочери	Я ношу линзы	
Я студентка	У меня есть мотоцикл	Я люблю спорт	Я подрабатываю в пабе	Я не люблю рано вставать	
Я банкир.	Я люблю вышивать.	У меня нет вредных привычек.	Мечтаю отдохнуть.	У меня нет машины.	
Я - интересная	Я - сотрудник МЧС	обожаю спасать людей	умею плавать и нырять	Мне нравится работа	
Я учительница	В поисках своего принца	Люблю книги	Обожаю звезды	Не могу жить без спорта	
Я поклонник фитнеса.	Я люблю ктелок.	Я каждый день.	У меня мама директор.	Я увлекаюсь скрапбукингом.	
Я мужчина 56 лет	У меня двое детей	Я имею любовницу	Я работаю вахтовым методом	Я люблю сало	
Я учусь в школе	У меня есть парень	Мне нравится спорт	Я прыгала с парашютом	Люблю бородатых мужчин	
Хожу на йогу.	Люблю зелёный чай.	Ездил отдыхать в Египет.	Люблю своих друзей.	Много путешествую.	
Я блогер	Я люблю путешествовать	Я вяжу крючком	Я делаю конфеты	Я парадирую певцов	
хочу стать богатым	не ем шпинат	я родился в деревне	недавно расстался с девушкой	у меня депрессия	
Я работаю учителем.	Люблю детей.	Я в активном поиске.	В свободное время читаю.	Свободна.	
Я врач	У меня красавица дочка	Люблю помогать людям	Обожаю баню	Не могу жить без прогулок в лесу	
Я работаю продавцом.	У меня много друзей.	Я занимаюсь танцами.	Я люблю собирать грибы.	Я пишу стихи.	
Я завидую другу.	Я пишу песни.	У меня карие глаза.	Я работаю курьером.	Я играю в шашки.	
Я бармен	Я играю на гитаре	Я занимаюсь йогой	Я не ем мяса	У меня надежные друзья	
Мне 9 лет	Я учусь в 7 школе	У меня есть собака	Я живу в частном доме	Мой папа работает инкассатором.	
Я учитель	Я люблю детей	Я хорошо готовлю	Я люблю поезда	Я люблю Россию	
Я водитель	У меня есть машина	У меня 2 сына	Я люблю пиццу	Мой любимый сериал Игра престолов	
Я работаю на заводе	Я хочу на море	Очень люблю отдых	Я не люблю убирать	Я куплю завтра машину	
Люблю путешествовать.	Любимая группа Битлз.	Не женат,	Работаю на заводе.	Имею машину Лада.	
у меня есть джип	мое хобби путешествия	я был в 7 странах	я зарабатываю хорошо	у меня есть собака	
я грузчик.	Я женился на своей девушке.	У меня есть ребенок.	Не умею готовить.	Люблю бег.	
Я счастливый человек.	Я читаю книги.	У меня будет ребёнок.	У меня ремонт.	У меня есть недостатки	
Я клоун	Работаю в цирке	Люблю детей	Хочу смеяться	Мне скучно	
Я оптимист.	Мне 43 года.	Люблю музыку.	У меня 3 детей.	Моё хобби это рыбалка.	
Не играла в компьютерные игры	Люблю вышивать	Мечтаю побывать во Флоренции	Не боюсь зубных врачей	Любимый цвет-зеленый	
Я люблю лето.	Я живу в городе.	Я никогда не была в горах.	Я люблю фрукты.	У меня есть кошка.	
хожу в рестораны	прыгаю с парашютом	езжу на велосипеде	пью чай	сплю голая	
Трудолюбивый	Болтаю без умолку	Легко иду на контакт	Честный	Люблю помечтать	
Я мужчина.	Мне 31 год.	Ездил в Сочи	Люблю путешествия.	Починил стиральную машину.	
Я мама	Вышла очень рано замуж	Работаю секретарем	Люблю детей.	увлекаюся бисером	
Я предприниматель	люблю театры	езжу на своей малышке	готовлю любимым	Радуюсь жизни	
Я ПОВАР.	Я ЛЮБЛЮ МОРЕ	У МЕНЯ ТРИ СЫНА	Я ЗАМУЖЕМ ЗА ЛЮБИМЫМ ЧЕЛОВЕКОМ	Я ШОПОГОЛИК	
Я учитель	Я люблю детей	Я хорошо готовлю	Я люблю плов	Я играю в теннис	
Я люблю карате	Люблю рыбалку	Люблю гулять по парку	Есть собака овчарка	Люблю зеленый чай	
Я играю в театре.	люблю петь.	Я из детдома.	Хочу усыновить ребенка.	Я вегетарианка.	
Я юрист.	Не замужем.	Люблю танцевать, петь.	Мое хобби кулинария.	Я люблю лето, море, солнце и песок.	
Я строитель	Я люблю пирожки	Я плаваю кролем	У меня есть гитара	Я люблю пиво	
Я учительница	мой рост 150 см	знаю 5 языков	люблю петь в караоке	хочу купить квартиру	
Люблю розы.	Люблю много спать.	Любимая еда - пицца.	Люблю пить соки.	Развожу аквариумные рыбки.	
Я студент	Живу в общежитии	Кушать хочется	Приходится работать	Иногда езжу к родителям	
Я военный.	Часто езжу в командировки.	У меня есть девушка.	Люблю лыжный спорт.	Очень люблю гречку.	
У меня большая семья.	Мое хобби -автомобили.	Я люблю дельфинов.	Я люблю рыбалку.	Я люблю петь.	
У меня есть 4 собаки	Я стендап-комик	Я хорошо пеку	я медсестра	Я вышла замуж друга	
Я логопед.	Изучаю испанский.	Есть муж и дети.	Люблю фигурное катание.	Хорошо плаваю.	
Я креативный парень.	Я сторонник экстрима.	Я свободен.	Мне нравятся красивые девушки.	Я люблю жизнь.	
Я врач	У меня есть автомобиль	Люблю пить пиво	Готовлю выпечку	Мой любимый спорт бокс	
У меня много друзей	Я люблю готовить	Я живу в деревне	У меня есть собака	Я играю в футбол	
Я диспетчер.	Собираю модели.	Занимаюсь йогой.	У меня есть два кота.	Хочу в горы.	
У меня есть собака.	Я диву с мужем.	Я катаюсь на лыжах.	Я не русская.	Учусь играть в шахматы.	
Я люблю астрономию.	Мне нравятся звёзды.	У меня есть кошка.	Я люблю платья.	Я хочу увидеть мир.	
У меня есть снегирь	У меня нет денег	Я мечтаю о море	Я хорошо чищу обувь	Я не курю	
Я актриса.	Я люблю музыку.	Я люблю своего парня.	Я мечтаю купить машину.	Я не люблю кошек.	
Я музыкант.	Я холост.	У меня есть автомобиль.	Я люблю пить пиво.	Мне всегда грустно.	
Я воспитываю детей	Я хорошо рисую	Я играю на баяне	Я классная	Я красотка	
Я мама .	У меня двое детей.	Я умею готовить .	Люблю отдыхать с семьей.	Я живу в своем доме.	
Я электрик.	Люблю рыбалку.	гуляю с друзьями.	Не женат пока.	Играю на барабане.	
Была замужем дважды.	Езжу на мотоцикле.	Не люблю убираться.	Любимый цвет-зелёный.	Я интроверт.	
Я ребенок	У меня есть и мама, и папа	Я хорошо бегаю	Я хожу в детский сад	Я люблю котов	
У меня есть машина.	Я очень высокий.	Я никогда не ел фастфуд.	Я люблю детей.	Я играю на гитаре.	
У меня чёрные волосы.	Я не курю.	Я ношу юбку.	Я в восторге от погоды.	У меня нет денег.	
Я люблю слушать музыку	Люблю красиво одеваться	Я часто мечтаю	Я очень люблю поспать	Люблю природу	
Я социальный работник.	Я люблю детей.	У меня большая семья.	Мне нравится лето.	Я люблю комедии.	
Я учитель	У меня высшее образование	37 лет в школе	Я люблю вышивать	Мне очень нравятся собаки	
Я учитель	Люблю своих учеников	Часто путешествую	Знаю три языка	У меня есть машина	
Я мужчина 35 лет	Я женат	У меня 2 автомобиля	Я работаю в колхозе	Я люблю пряники с пивом	
Я продавец в магазине	У меня семья	Я мечтаю о коте	Я люблю готовить	Я мечтаю открыть магазин	
я шахтер	люблю детективы	мечтаю побывать в Африке	у меня двое дочек	я не умею плавать	
Я мужчина	Я живу в Москве.	Люблю читать.	У меня 2 старших брата.	Бегаю по утрам.	
я художник	мой сын учится в гимназии	нет постоянной работы	жена работает врачом	люблю ириски	
Я люблю жизнь	Я люблю море	Я люблю арбузы	Я работаю в кафе	Я ем пиццу	
я менеджер	я люблю читать	я люблю путешествовать	я люблю море и солнце	я живу со своей сестрой	
Я пенсионер	Я вышла замуж в институте	Я была инженером	У меня взрослые дочь и сын	Я люблю плавать	
Я школьник	Я живу в Москве	У меня есть ноут	Я Люблю кашу	Хочу быть дворником	
Я школьница	Я очень спортивная	Моя мама работает учителем	У меня чёрные волосы	Я плохо готовлю	
Я молодая мама	У меня есть кот	Я люблю вышивать	Я никогда не была на море	Я люблю котов	
Я Катя	Мне 17 лет	Я люблю читать книжки	Я люблю в доту играть	У меня есть кошка	
Мой любимый фильм - пираты карибского моря	Мне 36 лет	Я холостяк	Мечтаю встретить свою судьбу	Люблю ходить на рыбалку	
я работаю в аэропорту	я люблю мороженое	я был трижды женат	у меня два брата	я коллекционирую машинки	
Я люблю читать .	У меня есть библиотека.	Я живу с собакой.	У меня большой дом.	Летом я езжу на море.	
я люблю секс	я хожу в секс шоп	я красив	я быстрый	я умею прыгать далеко	
Я люблю рисовать	У меня большой кот	Учусь на 3 курсе	Люблю гулять	Мечтаю побывать во франции	
Я инженер.	Люблю свою работу.	В детстве мечтал быть художником.	Хорошо пою..	Меня ценят на работе	
Я скрипач.	Я собираюсь завести собаку.	Я закончил институт.	Я люблю готовить.	Я живу возле моря.	
Я живу за городом	У меня есть собака	Я работаю дома	Я не люблю комиксы	Я умею читать рэп	
я люблю читать книги	я живу на 11 этаже	мне нравится петь	я люблю активный отдых	у меня один ребенок	
Не люблю читать	Не смотрел фильм Титаник	Работаю в одном месте 10 лет	В 14 лет уходил из дома	Имею 3 высших образования	
Я поэтесса .	Люблю книги.	люблю готовить.	Боюсь собак.	Есть ребенок.	
Я строитель.	Я работаю на фирме.	У меня есть много племянников.	Я умею рисовать	Я читаю чертежи	
Я рано вышла замуж.	У меня большая семья.	Я работаю медсестрой.	Учу разные языки.	Не люблю лениться.	
Я работаю егерем.	У меня 7 детей.	Я учусь дайвингу.	Я живу в лесу.	Мой рост 203 сантиметра.	
Я блондинка.	Я вяжу крючком.	Я люблю рок-н-ролл.	Я занимаюсь фитнесом.	Я учусь на филфаке.	
Я люблю звезды.	Я не люблю толпу.	Я молчалива.	Я вижу когда мне врут.	Я боюсь одиночества.	
Я копирайтер	У меня длинные волосы	Я пеку вкусные пироги	Я люблю делать рисовать	Я люблю спорить	
работаю в медиа	нравится европейская кухня	люблю путешествия	обожаю рыбалку	нравится готовить	
Я люблю реп	У меня есть бульдог	Люблю есть бургеры	Мечтаю стать гонщиком	Я учусь в институте	
Я люблю бегать	У меня всё есть	Мои родители хорошие	Я никогда не видел енота	Я позитивный	
Я пишу фантастику.	Я люблю читать.	У меня лучший муж.	В моей квартире десять котов.	Люблю грозы.	
У меня есть хомяк.	Я люблю море.	Я не умею плавать.	Я вкусно готовлю.	У меня много друзей.	
Я слесарь.	Есть жена и два пацана,	Я не пью и не курю.	Я сам построил дом	Летом мы ездим на море.	
Я умею водить	Я хожу в походы	У меня есть собака.	Я играю на гитаре.	Я вышла замуж в 20	
Я люблю музеи.	Я поклонник Ван Гога.	У меня есть три кошки.	Я плаваю в бассейне.	Я хочу в Рим.	
Я девушка.	Люблю смотреть фильмы.	Обожаю готовить.	Я ненавижу лжи.	Я всегда говорю правду.	
не плохо танцую	люблю походы	мне идёт красный	не люблю мотоциклы	хочу в морской круиз	
Я люблю собак	У меня есть муж	У меня есть дочь	Я люблю путешествовать	Я люблю суши	
Я школьник.	Я особенный - страдаю дислексией.	У меня есть два кота и маленькая собачка.	Родители меня очень любят.	У меня есть спортивный велосипед.	
Я учитель младших классов.	Я замужем.	У меня двое детей.	Я люблю вышивать.	Я люблю посещать музей.	
Работаю поваром.	Езжу по выходным на рыбалку.	Люблю детей.	Очень хороший человек.	Люблю мечтать.	
Я учусь в институте.	У меня есть сестра.	Я люблю бананы.	У меня много друзей.	Я люблю ловить рыбу.	
Я работаю дизайнером.	У меня есть зарплата.	Я делаю работы.	Люблю японскую кухню.	Люблю заниматься.	
Я студент.	Я люблю охоту.	Я живу в общежитии.	Люблю жизнь и людей.	Мое хобби - фотография.	
Я актер.	Я люблю готовить.	Я работаю в театре.	Я люблю спорт.	Я живу в собственном доме.	
Я студент.	Я люблю спорт.	Я встречаюсь с друзьями.	У меня два брата.	Я люблю слушать музыку.	
Люблю мужа	Я шатенка	Люблю рисовать	Люблю мелодрама	Люблю спорт	
Я пенсионерка	люблю готовить	У меня есть муж	Люблю своего внука	Мне всегда мало денег	
Я студентка .	Я люблю лыжи	Я занимаюсь спортом	Я фрилансер	Я обожаю дорамы	
Бизнесмен.	Доходы, активы.	Активный отдых.	Люблю собак.	Нравится синий цвет.	
я танцор	Я соревнуюсь	Мой брат живет один	Люблю отдыхать	Я умею прыгать с парашюта	
У меня брат и сестра.	Я люблю печь.	У меня большой сад.	Я люблю клубнику.	Моя дочь шестиклассница.	
Я люблю собак.	У меня два пуделя.	Я играю на пианино.	Я коллекционирую ракушки.	Я занимаюсь йогой.	
Я домохозяйка	Я часто сижу дома	У меня трое детей	Я люблю смотреть сериалы	Я боюсь пауков	
Я работаю на заводе.	У меня есть попугай.	Я люблю море.	У меня есть халат.	Моя мама хорошо готовит.	
у меня есть машина.	у меня нет девушки.	я брюнет.	я технолог.	у меня есть котенок.	
Я стюардесса.	Закончила ВГИК.	У меня двое детей	У меня квартира в Париже.	Вчера прилетела из Вены	
я инвалид без рук	не работаю	хочу выйти замуж	обожаю шоколад	живу самостоятельно	
Я врач	у меня собака и кошка	Я люблю вкусно поесть	Я люблю гулять	я живу в деревне	
У меня красивые волосы.	У меня есть мечта.	Я люблю жить.	Я фокусница.	Я люблю играть в карты.	
я преподаватель	я работаю в семинарии	я живу рядом с работой	люблю кошек	у меня 3 брата	
Я воспитательница	Я обожаю детей	У меня много друзей	Люблю гулять под дождем	Изучаю китайский язык	
Я егерь.	У меня семеро козлят.	Люблю печь пирожки.	У меня древняя масонская печка.	Люблю маму.	
Я люблю сок	Я не ем мясо	Я очень люблю котов	Я не ругаюсь матом	Я люблю заводить друзей	
У меня глисты.	Я не пью кофе.	Я лентяй.	Я видел НЛО.	Я люблю бегать.	
Я работаю моделью	Я люблю читать	Я мечтаю о море	Я люблю детей	Я никогда не видела жирафа	
Я работаю учителем	Меня увлекает конный спорт	Люблю читать	люблю готовить	В планах путешествия	
Я слесарь	Я люблю машины	Я люблю футбол	Я играю в карты	Мне нравится пиво	
Я работаю поваром	У меня три кота	Я люблю готовить	Я живу на первом этаже	Я делю квартиру с другом	
Я не высокого роста	Глаза голубые	Вес соответствует норме	Я соблюдаю диету	люблю сладкое	
Я люблю петь	Я играю в футбол	Я часто ем	Я гоняю на автомобиле	Я долго сплю	
Я почтальон	Не ем сало	Медитирую каждый день.	Сплю по 10 часов	Люблю печеньки	
Я высокого роста.	Вкусно готовлю.	Красиво читаю стихи.	У меня аллергия на котов.	Живу в своем доме.	
Я учитель.	Я куплю кошку.	Мой город красивый.	Я люблю лето.	Я вегетарианка.	
Я менеджер.	Я женат.	Я люблю путешествовать.	У меня есть клёвая тачка.	Я обожаю петь.	
Я бухгалтер.	Люблю вареники	Я много читаю.	Люблю боевики.	Хочу на море	
Я пенсионер	Я читаю	Я смотрю фильмы	Я люблю детей	Я люблю покушать	
Мне 12 лет.	Я люблю рисовать.	Играю на гитаре.	У меня живёт собака.	Летом я еду на море.	
Я хожу в школу.	Я люблю роллы.	Я хожу на баскетбол.	У меня есть попугай.	Моя мама - программист.	
Я люблю танцы	У меня две кошки	Я знаю китайский язык	Я хочу создать семью	Мне нравится дождь	
Я пишу стихи.	Я люблю слушать музыку.	Я играю на гитаре.	У меня есть мопед.	Я отлично рисую.	
Я студентка.	Я люблю читать.	Я подрабатываю промоутером.	Мне 20 лет.	Я люблю суши.	
У меня бессонница.	Читаю много книг.	Развожу рыбок.	Ненавижу супы.	Хочу жить в деревне.	
Я актриса.	Я мечтаю отдохнуть на Мальдивах.	У меня два кота.	Я в разводе.	Я люблю петь в караоке.	
Я визажист.	Люблю моду.	Люблю яркие краски.	У меня есть кот.	Мечтаю о горах.	
Я водитель.	У меня есть аквариум.	Я вожу пассажиров.	Люблю смотреть в окно.	Я добрый.	
Я многодетная мать.	Ненавижу лето.	Люблю холодец.	Ношу нож.	У меня аллергия на латекс.	
Работаю тренером	Спорт - это жизнь	Слежу за здоровьем	Очень активный	Позитивный	
я жаворонок	я рыбак	я играю на гитаре	я хожу в кино	я пишу стихи	
Я продавец-консультант.	Я люблю рыбок.	У меня есть муж.	Я хорошо рисую.	Я не люблю рыбу.	
Я физик.	Я люблю науку.	Я люблю путешествовать.	Я обожаю картофель.	Я люблю принимать ванну.	
У меня есть сын	Я не работаю	Я снова беременна	Я люблю мужа	У меня большая семья	
Я таксист.	Я люблю японскую кухню.	У меня трое детей.	Увлекаюсь гонками.	Я люблю красный цвет.	
Я художник	Люблю собак	Люблю компот из сухофруктов	Никогда не видел снег	Мечтаю стать депутатом	
Я плотник.	Я люблю рыбачить.	Готовлю узбекскую кухню.	Я живу с сестрой.	У меня есть черепашка.	
Я пенсионер.	Я живу в деревне.	Я живу с женой.	У меня четыре внука.	Я люблю супы.	
Я спортсмен.	Я натурал.	У меня есть собака.	Я никогда не видел море.	Люблю яблочный сок.	
Я езжу на тойотах .	Я люблю ходить в баню.	Я живу в доме.	Я готовлю плов.	Я бывший военный.	
Обожаю цветы.	Люблю вкусно поесть.	Поздно засыпаю.	Хочу на свидание.	Не люблю черешню.	
Я выделщик шкур.	Развожу муравьёв.	Люблю борщ.	Терялся в лесу.	У меня мурашки от музыки.	
Я люблю природу.	Я домохозяйка.	У меня есть кошка.	Я живу с мужем и 2 детьми.	Я умею вышивать.	
Я инженер.	Я люблю свою работу.	Я играю в футбол.	Люблю свою собаку-овчарку.	Слушаю рок.	
Живу в деревне	Люблю природу	Много знаю	Люблю зимнюю рыбалку	Со мной всегда весело	
Люблю вязать	Я умею шить	У меня есть внучка	Мы вместе готовим	Я люблю читать	
я люблю посещать музеи	я часто хожу в театры	люблю музыку	у меня два попугайчика	я мечтаю о жене	
Я фотограф	Слушаю джаз	Люблю играть в покемонов	У меня есть металлоискатель	Мечтаю прославиться	
Я девочка 8 лет	У меня есть брат	Я обожаю читать	Я верю в фей	Я не люблю сладкое	
Сегодня у меня родилась дочь	Я люблю животных	Я занимаюсь спортом	я люблю охотится	я много ем	
Я жаворонок.	Я играю в волейбол.	Я пишу стихи.	У меня есть три статуэтки.	Я люблю канареек.	
У меня есть теща	Мои дети совершеннолетние	Я работаю в магазине	Люблю рыбу	Никогда не курила	
Я девочка 12 лет.	Я люблю смотреть аниме.	Я люблю рисовать.	У меня есть хомяк.	Я люблю урок музыки.	
Я ТАКСИСТ	Я ЖЕНЮСЬ НА ОДНОКУРСНИЦЕ	Я люблю петь	Я ЖИВУ С БРАТОМ НА КВАРТИРЕ	ЛЮБЛЮ ОБЩАТЬСЯ С ЛЮДЬМИ	
Я студент.	Я люблю ходить в кино.	У меня есть 2 сестры.	Любимый автор - Джек Лондон.	Я люблю лето.	
Я врач	Меня любят больные	Расслабляюсь за компьютером	Мечтаю о красивой любви	Не женат	
Я программист.	Рисую комиксы.	Не умею плавать.	Люблю одиночество.	Мечта - выпустить сборник.	
Я балерина.	Люблю вышивать лентами.	Хочу отдыхать на Мальдивах.	У меня большей дом.	Люблю животных.	
Я порноактёр.	Я не люблю музыку.	У меня дорогая машина.	Я холост.	Я пугаюсь, когда вижу самолёт.	
Я студент	Мне нравится играть в ГТА	Я люблю пельмени	Я хочу в цирк	У меня есть собака	
я таксист	я играю в хоккей	я бегаю по утрам	я люблю театр	у меня есть две собаки	
Я фрилансер.	Имею автомобиль.	Постоянно гуляю.	Ношу спортивную обувь.	Я занимаюсь дайвингом.	
Я директор	Я женился рано	У меня есть сын и дочь	Я живу в деревне	Я люблю читать книга	
я издатель	у меня своя фирма	езжу на машине	моя сестра журналист	люблю замужнюю женщину	
Я домохозяйка.	Очень активная.	Есть дочь.	Мечтаю покорить Эверест.	Увлекаюсь хендмейдом.	
Я молодая девушка.	Я живу одна.	У меня есть попугай.	Я люблю общение.	Люблю получать подарки.	
Я много сплю.	Я лежала в больнице.	У меня есть 4 брата.	Я люблю мороженое.	Я не люблю яблоки.	
Люблю своего мужа	Жду ребенка	люблю готовить плов	Вяжу спицами	Хочу на море	
Я люблю еду	У меня есть компьютер	Мои родители продавцы	Я никогда не видел смерть	Я мечтаю о жене	
Я работаю в бизнес сфере	Люблю фитнес	Я замужем	Обожаю фрукты и шоколад	Мечтаю побывать в Париже	
я певец	у меня мало свободного времени	я бывал во многих странах	я люблю животных	я люблю пиццу	
Я спортсмен.	Работаю тренером.	Тренирую детей и взрослых.	Люблю животных.	Летом куплю щенка.	
Я байкер	Люблю мотоциклы	Женат	Люблю бухать	люблю рок	
Я строитель	Я люблю клубнику	Я живу в селе	У меня есть собака	Я увлекаюсь футболам	
Я юрист	У меня двое детей	Люблю баскетбол	Живу в деревне	Люблю собак	
У меня три сестры.	Я два метра ростом.	Люблю рыбалку.	Слушаю рок.	Танцую сальсу.	
Я водитель автобуса.	У меня 3 детей.	Я люблю рыбалку.	Я боюсь высоты.	Я мечтаю о собственном доме.	
Я женщина.	Мне 45 лет.	Работаю учителем алгебры в школе.	У меня 1 ребенок.	Я замужем	
Я технолог	У меня четверо детей	Я развожу улиток	Я выросла у моря	Обожаю рыбачить с детьми	
Я парикмахер.	Мне 20 лет.	Я делаю людям стрижки.	Я открываю салон.	Я хороший мастер.	
у меня есть кот	я не ем сало	катаюсь на квадроцикле	хожу в рестораны	умею вышивать крестиком	
Я одинокий мужчина.	Мне 59 лет.	Люблю рыбалку и отдых на природе.	Ищу друзей.	Не прочь выпить.	
Временно не работаю.	Люблю путешествовать.	Живу одна.	Мечтаю о семье.	Хочу попугая.	
Я работаю в школе.	Я люблю вязание.	Я живу в селе.	Я очень люблю животных.	У меня трое детей.	
Я интересный собеседник.	Я люблю утро.	Я люблю чай .	У меня есть брат.	Я люблю своих родителей.	
Я домохозяйка	Я живу в деревне	У меня двое детей	Я ухаживаю за цветами	У меня есть любимый муж	
Я женщина.	У меня есть сын.	Работаю горничной.	Я скоро поеду в Турцию.	люблю готовить.	
я студентка	я ещё не замужем	у меня живет 5 кошек	я хорошо варю супы	я катаюсь на велосипеде	
я скучаю по маме	я купил новую машину	у меня дома мыши)	я мечтаю открыть своё дело	я люблю шашлык	
Я медик	Я в разводе	Обожаю фильмы Тарантино	Я долго не могла научится плавать	Я очень общительная	
Я домохозяйка.	У меня двое детей.	Я пеку торты.	Я мечтаю научиться рисовать.	У меня собака боксер.	
Я люблю рок	Пишу статьи для журнала	Я езжу на велосипеде	Хочу купить собаку	Я не люблю морковку	
Я люблю печь торты	я много хожу пешком	Я смотрю сериалы	Я ношу брюки	Я люблю каблуки	
Я инженер.	Люблю своих детей.	Люблю жену.	люблю готовить и чистоту.	И я счастлив.	
Я бухгалтер.	Люблю ходить в театр.	У меня два сына.	Я люблю готовить.	Мечтаю открыть свой бизнес.	
Я работаю в лаборатории.	Слушаю метал.	Есть сын и дочь.	Мечтаю прославиться.	Люблю вышивать.	
Люблю играть.	Много читаю.	Часто посещаю театры.	Выучился на актёра.	Дважды разведен.	
Я домработница.	Я люблю варить кофе.	Я люблю свою семью.	Я бездетна.	Мечтаю усыновить ребёнка.	
Я программист	Я люблю детей	Я ухаживаю за животными в приюте	Я занимаюсь растениями	Я люблю дружить	
Я люблю зоопарки	У меня много домашних зверьков	Я учусь в ШГУ	Я живу в Москве	Я уважаю этикет	
Я директор магазина	Не женат	Играю на гитаре	Через месяц поеду на море	Я учу испанский язык	
Я люблю гулять в парке.	Я люблю комедии.	Я люблю пельмени.	Я вожу машину.	У меня есть сын.	
Я пенсионерка.	Я хорошо готовлю.	Я люблю собирать грибы.	У меня двое внуков.	Я работала инженером.	
я медсестра	Не замужем	У меня есть сын	Я увлекаюсь восточными танцами	Люблю разводить цветы	
Я стоматолог	Плохо лажу с животными	У меня есть сын	Люблю гулять в парках	Люблю читать	
